# 阿里达摩院 提交列表（纯文本视图）
# 共 286 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
33bbf25f | 2024-09-01 | xianbing Zhu | hibernate: get buffer page speedup with no GPF_ZERO
4dde0fdf | 2024-09-01 | xianbing Zhu | hibernate: speedup image crc caculation by multi-threads
0ab272a5 | 2024-09-01 | xianbing Zhu | hibernate: load image retry in some crc mismatch
be7efd54 | 2024-09-01 | xianbing Zhu | dts: th1520: update mmc sdio clocks
a361385f | 2024-09-01 | tingming | dts: rvbook: to modity rvbook dts
7c50e81d | 2024-09-01 | Xiangyi Zeng | drivers: iopmp: add iopmp driver
806784f1 | 2024-09-01 | Xiangyi Zeng | drivers: pct: fix NULL ptr error when pvt resume from ram
49c6466b | 2024-09-01 | Xiangyi Zeng | drivers: pinctrl: add pinctrl driver pm ops
2636000f | 2024-09-01 | Xiangyi Zeng | dts: th1520: modify kernel memory region, [0x0, 0x20000] is reserved for opensbi
727ac123 | 2024-09-01 | tingming | dts: th1520: to modify rvbook dts
e6ba0125 | 2024-09-01 | Xiangyi Zeng | dts: th1520: add adc vref-supply regulator
1365612a | 2024-09-01 | David Li | audio: th1520: to support tdm/spdif feature
c4f9eff9 | 2024-09-01 | David Li | dts: rvbook: to adapt compatible 'thead,th1520' of rvbook
9c2824b6 | 2024-09-01 | xianbing Zhu | riscv: hibernate: crash dump memory mark as nosave
64470445 | 2024-09-01 | xianbing Zhu | hibernate:snaoshot: detail show copied pfn info
7f1e5b10 | 2024-09-01 | xianbing Zhu | hibernate: extended platform ops for all mode
d5842301 | 2024-09-01 | xianbing Zhu | hibernate: add interface for driver to mark no_save region
e2564fd7 | 2024-09-01 | Xiangyi Zeng | drivers: dma: change dw dma runtime pm to sync
0d2f8f50 | 2024-09-01 | Xiangyi Zeng | audio: th1520: fix i2s pause/resume dma fail
78f6b3e5 | 2024-09-01 | Hao Li | dma: dw-axi-dmac: fix multi-channel dmatest fail
e5e84a53 | 2024-09-01 | Xiangyi Zeng | audio: th1520: resolve the dma error problem when ap i2s audio stop play
d2bc3a1f | 2024-09-01 | Xiangyi Zeng | watchdog: dw_wdt: ap watchdog timeout report different strategies
59d3a6c0 | 2024-09-01 | Xiangyi Zeng | drivers: wdt: drop DW wdt restart function for th1520 soc
e1b74d5f | 2024-09-01 | Xiangyi Zeng | drivers: hwmon: bugfix for mr75203
c2b3ce57 | 2024-09-01 | Xiangyi Zeng | spi: spidev: add spidev speed sysfs for debug
cbf650a0 | 2024-09-01 | Huaming | dtb:th15210: correct vi camera2 path cfg
2bb5aaa0 | 2024-09-01 | David Li | dts: update pin/regulator configuration in rvbook dts file
a3d07ee0 | 2024-09-01 | Xiangyi Zeng | dts: th1520: add th1520-a-val-crash.dts and th1520-lpi4a-product-crash.dts for kdump
0eacae5e | 2024-09-01 | Xiangyi Zeng | drivers: pinctrl: correct th1520 audio i2c1 bit mapping table
c225e572 | 2024-09-01 | Huaming | dtb:th1520: LA Board correct cma cfg
4a23decb | 2024-09-01 | Xiangyi Zeng | dts: th1520: add cpu thermal node and device thermal node
63daf101 | 2024-09-01 | David Li | perf: sync vendor event path with torvalds/linux
db01e92f | 2024-09-01 | David Li | dts: audio: to support i2s-8ch feature
4e37ba41 | 2024-09-01 | tingming | th1520: system_monitor: to add system_monitor driver
c3c07faa | 2024-09-01 | David Li | dts: audio: to adapt compatible 'thead,th1520'
453cc467 | 2024-09-01 | Huaming | dtb:th1520:light add vi module
1bc9f9c2 | 2024-09-01 | xiaojin.cxj | regdump:add regdump support for lpi4a and light-a && rename some dts name from "thead" to "xuantie"
112a3bcf | 2024-09-01 | Huaming | driver:i2c:add i2c mode for tx transfer
e6fbdca9 | 2024-09-01 | David Li | dts: audio: correct audiosys pinctrl name
2d0cddd5 | 2024-09-01 | David Li | audio: th1520: support audiosys pinctrl feature
03e80e2a | 2024-09-01 | Xiangyi Zeng | dts: th1520: remove usb hub node from th1520-a board
15eb8e6d | 2024-09-01 | tingming | hwspinlock: th1520: to add th1520 hwspinlock driver
0fe8968e | 2024-09-01 | Xiangyi Zeng | dts: th1520: add rambus eip_28 device node
df06ae68 | 2024-09-01 | Esther Z | dts: th1520: add LA regulator support.
e66649ed | 2024-09-01 | Xiangyi Zeng | drivers:misc:dsmart: add th1520 iso7816 driver
0c22e686 | 2024-09-01 | Xiangyi Zeng | drivers:nvmem:efuse: add th1520 efuse driver
80ae04d5 | 2024-09-01 | David Li | audio: th1520: add soundcard dts node of th1520-a-val board
d1854c03 | 2024-09-01 | tingming | dts: th1520: to add npu device node
89489d01 | 2024-09-01 | Xiangyi Zeng | riscv:dts:som: add th1520-lpi4a-product and th1520-lpi4a-product-sec dts file
e1484a1d | 2024-09-01 | Xiangyi Zeng | dts:th1520-a: add th1520-a-val.dts and th1520-a-val-sec.dts
5e01443c | 2024-06-21 | Huaming | defconfig:th1520: enable cma config
5bb481a3 | 2024-09-01 | Huaming | dtb:lipi:enable VI module config
ad17c151 | 2024-09-01 | xianbing Zhu | riscv: config: add MAX_ORDER config for riscv and th1520
3927f03f | 2024-09-01 | xianbing Zhu | dts: th1520: add vdec venc and video mem device node
e290c78e | 2024-08-31 | xianbing Zhu | mm: export sysmbol __pte_offset_map_lock for modules outside
4f2defe8 | 2024-08-31 | David Li | audio: th1520: add pa aw87519 driver for XuanTie TH1520 SoC
4d59f385 | 2024-08-31 | David Li | audio: th1520: add spdif driver for XuanTie TH1520 SoC
da920687 | 2024-08-31 | David Li | audio: th1520: add tdm driver for XuanTie TH1520 SoC
eff78d8f | 2024-09-06 | Guo Ren | riscv: mm: Add support for Svinval extension
d191367b | 2024-09-04 | Guo Ren | riscv: Add ACLINT SSWI support
dcc46b49 | 2024-07-29 | forain | drm: Fix HDMI hot-plug problem
af0154d6 | 2024-07-25 | Hao Li | gpu/drm: hdmi: Add hdmi debounce to enhance hdmi plugin/out stable
e896c3a1 | 2024-07-21 | David Li | audio: th1520: fixup compile warning of i2s driver
843da89e | 2024-07-12 | David Li | dmaengine: dw-axi-dmac: Add support for Xuantie TH1520 DMA
41065f82 | 2024-07-04 | Chen Pei | arch:rsicv:select ARCH_HAS_DMA_WRITE_COMBINE
5fe94496 | 2024-07-01 | Xiangyi Zeng | drivers: pinctrl: correct th1520 audio i2c1 bit mapping table
2cbda932 | 2024-06-30 | Huaming | driver:padctrl:correct th1520 gpio_1 24/25 cfg
0a1561d4 | 2024-07-04 | Xiangyi Zeng | dts: th1520: add adc vref-supply regulator
f9fdb918 | 2024-07-04 | Xiangyi Zeng | dts: th1520: add cpu thermal node and device thermal node
aac42e0e | 2024-07-04 | Xiangyi Zeng | drivers: event: add macro definition to control SW_PANIC event
2c753f93 | 2024-06-28 | David Li | audio: th1520: enable soundcard feature
f3dead43 | 2024-06-27 | David Li | audio: th1520: support audiosys pinctrl feature
6f4a097f | 2024-06-26 | Xiangyi Zeng | dts: th1520: fix interrupt number config error in dts
4af8c819 | 2024-06-24 | forain | DPU: add DPU driver for Lichee-Pi-4A board
54ab7b11 | 2024-06-23 | tingming | dts: th1520: add npu device node
2c5bb8bb | 2024-06-21 | David Li | codec: audio: add codec driver for Lichee-Pi-4A board
c981ef26 | 2024-06-20 | Chen Pei | riscv: vector: Fix the boot issue compiled using xuantie-toolchain or upstream-toolchain
4b77f57f | 2024-06-19 | Esther Z | drivers: cpufreq: add cpufreq driver.
