# 软件所 提交列表（纯文本视图）
# 共 252 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
f000ea27 | 2024-09-01 | Han Gao | riscv:vector: Check datap status in __switch_to_vector
b2d266f0 | 2024-09-01 | Han Gao | th1520_defconfig:Enable lowpower settings
5f9142fc | 2024-09-01 | Han Gao | th1520_defconfig:Enable ebpf settings
72702d15 | 2024-09-01 | Han Gao | dts: th1520: sd card not try sdio cmds
c6ae7c43 | 2024-09-01 | Han Gao | fix rv_book str
97e32d91 | 2024-09-01 | Han Gao | driver usb: optimize pm resume time, do resume in runtime_resume
e53d4351 | 2024-09-01 | Han Gao | Solve problem of DSI transfer command failure when hotplug hdmi
206bcd0f | 2024-09-01 | Han Gao | dts: bt: support rtl8822cs
b7a9500e | 2024-09-01 | Han Gao | dts: wifi: support rtl8822cs
a6f89ddc | 2024-09-01 | Han Gao | defconfig: wifi : add rtl8822cs(for rvbook)
6126533b | 2024-09-01 | Han Gao | riscv:kdump: Fix gen /proc/vmcore
6856371d | 2024-09-01 | Han Gao | driver:tee:add tee_driver_pm_ops
8801099c | 2024-09-01 | Han Gao | driver:tee:Allow to freeze when tee supplicant is freezed
e69d8c13 | 2024-09-01 | Han Gao | usb: dwc3: th1520.dtsi: bugfix: fix usb str xhci error
16e0fa06 | 2024-09-01 | Han Gao | drivers: support virtio_vdmabuf
8efc86a0 | 2024-09-01 | Han Gao | perf:test:fix PERF_RECORD_* events & perf_sample fields in yocto linux
cbad68f4 | 2024-09-01 | Han Gao | move the place of dts "audio-text-memory-region" property
c230bebf | 2024-09-01 | Han Gao | defconfig: bt: add hid support
8a1d0695 | 2024-09-01 | Han Gao | defconfig: bt : add rtl8723ds
581eaf8f | 2024-09-01 | Han Gao | driver: bt : Compatible with RTL8723ds'h5 protocol
5a68ee35 | 2024-09-01 | Han Gao | driver: bt: add rtl8723ds h5 protocol
66b71dc5 | 2024-09-01 | Han Gao | add audio hibernation ops
28768584 | 2024-09-01 | Han Gao | DPU: remove panel unprepare process in disable dsi process
68371710 | 2024-09-01 | Han Gao | remove dts "audio_mem" node and add mbox 910r channel
260a0648 | 2024-09-01 | Han Gao | usb: dwc3-thead: fix usb gadget support
7c08f3c5 | 2024-09-01 | Han Gao | dts: th1520-lichee-pi-4a: update usb hub
7115dddb | 2024-09-01 | Han Gao | dts: add th1520-lpi4a-dsi0.dts and th1520-lpi4a-hx8279.dts
87be70e7 | 2024-09-01 | Han Gao | dts: add display support for dsi0&dsi1 and dsi0&hdmi
e951e020 | 2024-09-01 | Han Gao | dw-axi-dma : dma_chan_prep_dma_memcpy func add chan->direction = DMA_MEM_TO_MEM
9ecb69c0 | 2024-09-01 | Han Gao | DPU: support DSI/HDMI driver for light-a-val
ecb7ec45 | 2024-09-01 | Han Gao | driver : rfkill : Delete unnecessary code
5ee7790b | 2024-09-01 | Han Gao | dts: rfkill: Delete unnecessary nodes
54929a7f | 2024-09-01 | Han Gao | RISC-V laptop: Add new drivers for specific hardware components
dc14a89e | 2024-09-01 | Han Gao | rvbook: add th1520-rvbook.dts
c9452552 | 2024-09-01 | Han Gao | Add kernel boot rvbook_defconfig
b31b4cbc | 2024-09-01 | Han Gao | dts: add GPU device node
9252fd8e | 2024-09-01 | Han Gao | perf vendor events riscv: Add PMU event JSON files for TH1520 DDRC PMU
853878cb | 2024-09-01 | Han Gao | dts: rfkill: Resolving Insmod Failure Issues
53e77c39 | 2024-09-01 | Han Gao | dts: th1520: add g2d device node
87f2735d | 2024-08-31 | Han Gao | aic8800: Add AIC8800's config to th1520_defconfig, as well as resolve known issues
9fb74c6d | 2024-08-31 | Han Gao | uart: Fix the UART problem
4614ddf3 | 2024-08-31 | Han Gao | rfkill: add aic8800 rfkill support for gpio control of aic8800 wifi/bt
d54d768e | 2024-08-31 | Han Gao | th1520-lichee-pi-4a.dts: change dts for aic8800 wifi Support aic8800 wifi
cab7136b | 2024-08-31 | Han Gao | th1520-lichee-pi-4a.dts: change dts for aic8800 bt Support aic8800 bt
035f700a | 2024-08-27 | Han Gao | fix: riscv: xtheadvector: fix setup_v_vsize
59ecb579 | 2024-07-05 | Han Gao | configs: enable rtw88 for 8723ds
73cc5ec2 | 2024-06-10 | Han Gao | xtheadvector: fix it used as v-ext when hwprobe is used
e1cc1f0b | 2024-03-30 | Han Gao | dts: th1520: add xtheadvector
f157d56e | 2024-03-29 | Han Gao | fix: use has_vector instead of judge ELF_HWCAP
1139a8ef | 2024-03-27 | Han Gao | riscv: xtheadvector: enable vector function
1949c9bc | 2024-07-03 | Han Gao | configs: init th1520 config
2a2e5817 | 2024-07-05 | Han Gao | riscv: dts: lpi4a 16g support
00dc7159 | 2024-07-02 | Han Gao | chore: use thead instead of xuantie
28606207 | 2024-07-02 | Han Gao | chore: use xuantie instead of thead
10cc3485 | 2024-01-12 | Han Gao | chore: dtb_install in /boot
c4000ca6 | 2023-09-21 | Han Gao | remove compression for riscv Image
ec3dee88 | 2023-12-06 | Drew Fustini | riscv: dts: thead: Enable LicheePi 4A eMMC and microSD
1c4289f2 | 2023-12-06 | Drew Fustini | riscv: dts: thead: Enable BeagleV Ahead eMMC and microSD
f50f655b | 2023-12-06 | Drew Fustini | riscv: dts: thead: Add TH1520 mmc controllers and sdhci clock
5eb52624 | 2023-12-06 | Drew Fustini | riscv: defconfig: Enable mmc and dma drivers for T-Head TH1520
10bff1f2 | 2023-11-14 | Drew Fustini | mmc: sdhci-of-dwcmshc: Add support for T-Head TH1520
76e9bd3e | 2023-11-14 | Drew Fustini | mmc: sdhci: add __sdhci_execute_tuning() to header
1a67f455 | 2023-11-14 | Drew Fustini | dt-bindings: mmc: sdhci-of-dwcmhsc: Add T-Head TH1520 support
2a5db116 | 2024-04-25 | Han Gao | fix: remove linux/array_size.h for pinctrl-th1520
1ac38318 | 2024-01-03 | Emil Renner Berthing | riscv: dtb: thead: Add BeagleV Ahead LEDs
51b6f8a3 | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Add TH1520 pinctrl settings for UART0
1b907adc | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Add Lichee Pi 4M GPIO line names
f4e58a66 | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Adjust TH1520 GPIO labels
a5f5ce81 | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Add TH1520 GPIO ranges
08c3ff05 | 2024-01-03 | Emil Renner Berthing | riscv: dts: thead: Add TH1520 pin control nodes
6134204c | 2024-01-03 | Emil Renner Berthing | pinctrl: Add driver for the T-Head TH1520 SoC
d71037e9 | 2024-01-03 | Emil Renner Berthing | dt-bindings: pinctrl: Add thead,th1520-pinctrl bindings
