# 中兴通讯 提交列表（纯文本视图）
# 共 252 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
70d741e3 | 2022-07-22 | Anup Patel | RISC-V: KVM: Forward SBI DBCN extension to user-space
7d270be2 | 2023-10-11 | Anup Patel | RISC-V: KVM: Allow some SBI extensions to be disabled by default
7ba4154d | 2023-10-10 | Anup Patel | RISC-V: KVM: Change the SBI specification version to v2.0
9c79d743 | 2022-07-22 | Anup Patel | RISC-V: Add defines for SBI debug console extension
5dfe7d28 | 2023-11-24 | Anup Patel | RISC-V: Enable SBI based earlycon support
b8d69a60 | 2023-11-24 | Atish Patra | tty: Add SBI debug console support to HVC SBI driver
b7380373 | 2023-11-24 | Anup Patel | tty/serial: Add RISC-V SBI debug console based earlycon
5d1a6ad5 | 2023-11-24 | Anup Patel | RISC-V: Add SBI debug console helper routines
71a08673 | 2023-11-24 | Anup Patel | RISC-V: Add stubs for sbi_console_putchar/getchar()
43571df2 | 2024-04-03 | Björn Töpel | riscv: Fix vector state restore in rt_sigreturn()
28eee47d | 2024-01-15 | Andy Chiu | riscv: vector: allow kernel-mode Vector with preemption
1fcc7cd6 | 2024-01-15 | Andy Chiu | riscv: vector: use kmem_cache to manage vector context
c4a233f2 | 2024-01-15 | Andy Chiu | riscv: vector: use a mask to write vstate_ctrl
ede73720 | 2024-01-15 | Andy Chiu | riscv: vector: do not pass task_struct into riscv_v_vstate_{save,restore}()
b4c30ccf | 2024-01-15 | Andy Chiu | riscv: fpu: drop SR_SD bit checking
8fc95662 | 2024-01-15 | Andy Chiu | riscv: lib: vectorize copy_to_user/copy_from_user
1b5d0d67 | 2024-01-15 | Andy Chiu | riscv: sched: defer restoring Vector context for user
708651d2 | 2024-01-15 | Greentime Hu | riscv: Add vector extension XOR implementation
7955960e | 2024-01-15 | Andy Chiu | riscv: vector: make Vector always available for softirq context
8616e8a8 | 2024-01-15 | Greentime Hu | riscv: Add support for kernel mode vector
752319f8 | 2023-10-24 | Clément Léger | riscv: kernel: Use correct SYM_DATA_*() macro for data
6c27f625 | 2023-10-24 | Clément Léger | riscv: Use SYM_*() assembly macros instead of deprecated ones
e1bdf9ff | 2023-10-24 | Clément Léger | riscv: use ".L" local labels in assembly when applicable
f7119539 | 2024-11-03 | Alexandre Ghiti | riscv: Add qspinlock support
17addce4 | 2024-11-03 | Alexandre Ghiti | riscv: Implement xchg8/16() using Zabha
d557cc05 | 2024-11-03 | Alexandre Ghiti | riscv: Implement arch_cmpxchg128() using Zacas
2e552f68 | 2024-11-03 | Alexandre Ghiti | riscv: Improve zacas fully-ordered cmpxchg()
be972722 | 2024-07-26 | Yong-Xuan Wang | RISC-V: KVM: Add Svade and Svadu Extensions Support for Guest/VM
a73e82cb | 2024-10-16 | Samuel Holland | RISC-V: KVM: Allow Smnpm and Ssnpm extensions for guests
dda2841e | 2024-04-26 | Andrew Jones | KVM: riscv: Support guest wrs.nto
9bbce6b3 | 2024-06-19 | Clément Léger | RISC-V: KVM: Allow Zcmop extension for Guest/VM
e33e8b52 | 2024-06-19 | Clément Léger | RISC-V: KVM: Allow Zca, Zcf, Zcd and Zcb extensions for Guest/VM
9f7cabca | 2024-06-19 | Clément Léger | RISC-V: KVM: Allow Zimop extension for Guest/VM
47667ab4 | 2024-02-13 | Anup Patel | RISC-V: KVM: Allow Zacas extension for Guest/VM
0e826968 | 2024-02-13 | Anup Patel | RISC-V: KVM: Allow Ztso extension for Guest/VM
6fb4c4de | 2024-02-13 | Anup Patel | RISC-V: KVM: Forward SEED CSR access to user space
642fcc2b | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zfa extension for Guest/VM
dab51aa2 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zvfh[min] extensions for Guest/VM
120b4cbc | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zihintntl extension for Guest/VM
ac953c40 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zfh[min] extensions for Guest/VM
aa243d17 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow vector crypto extensions for Guest/VM
90848373 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow scalar crypto extensions for Guest/VM
d8b722f0 | 2023-11-27 | Anup Patel | RISC-V: KVM: Allow Zbc extension for Guest/VM
92825f08 | 2023-09-15 | Anup Patel | RISC-V: KVM: Allow Zicond extension for Guest/VM
3aa576fa | 2023-11-12 | Xiao Wang | riscv: Optimize hweight API with Zbb extension
310a7436 | 2023-10-31 | Xiao Wang | riscv: Optimize bitops with Zbb extension
69555ab5 | 2024-06-21 | Xiao Wang | riscv: Optimize crc32 with Zbc extension
cbb95eba | 2025-02-28 | Robin Murphy | iommu: Handle race with default domain setup
fa04c8e4 | 2023-10-03 | Jason Gunthorpe | iommu: Do not use IOMMU_DOMAIN_DMA if CONFIG_IOMMU_DMA is not enabled
c1c46c34 | 2023-09-13 | Jason Gunthorpe | iommu: Convert remaining simple drivers to domain_alloc_paging()
af94d2d8 | 2023-09-13 | Jason Gunthorpe | iommu: Convert simple drivers with DOMAIN_DMA to domain_alloc_paging()
8bf778e3 | 2023-09-13 | Jason Gunthorpe | iommu: Add ops->domain_alloc_paging()
c30c0226 | 2023-09-13 | Jason Gunthorpe | iommu: Add __iommu_group_domain_alloc()
d93cd234 | 2023-09-13 | Jason Gunthorpe | iommu: Require a default_domain for all iommu drivers
6d5fd48a | 2023-09-13 | Jason Gunthorpe | iommu/sun50i: Add an IOMMU_IDENTITIY_DOMAIN
6d081da8 | 2023-09-13 | Jason Gunthorpe | iommu/mtk_iommu: Add an IOMMU_IDENTITIY_DOMAIN
7484af74 | 2023-09-13 | Jason Gunthorpe | iommu/ipmmu: Add an IOMMU_IDENTITIY_DOMAIN
eee82f8c | 2023-09-13 | Jason Gunthorpe | iommu/qcom_iommu: Add an IOMMU_IDENTITIY_DOMAIN
8cf3452a | 2023-09-13 | Jason Gunthorpe | iommu: Remove ops->set_platform_dma_ops()
229841c2 | 2023-09-13 | Jason Gunthorpe | iommu/msm: Implement an IDENTITY domain
4c198e33 | 2023-09-13 | Jason Gunthorpe | iommu/omap: Implement an IDENTITY domain
0c793e4c | 2023-09-13 | Jason Gunthorpe | iommu/tegra-smmu: Support DMA domains in tegra
29c1afa3 | 2023-09-13 | Jason Gunthorpe | iommu/tegra-smmu: Implement an IDENTITY domain
122be213 | 2023-09-13 | Jason Gunthorpe | iommu/exynos: Implement an IDENTITY domain
caa7465e | 2023-09-13 | Jason Gunthorpe | iommu: Allow an IDENTITY domain as the default_domain in ARM32
65c072e1 | 2023-09-13 | Jason Gunthorpe | iommu: Reorganize iommu_get_default_domain_type() to respect def_domain_type()
5a59c96a | 2023-09-13 | Jason Gunthorpe | iommu/mtk_iommu_v1: Implement an IDENTITY domain
812ffa04 | 2023-09-13 | Jason Gunthorpe | iommu/fsl_pamu: Implement a PLATFORM domain
8033c612 | 2023-09-13 | Jason Gunthorpe | iommu: Add IOMMU_DOMAIN_PLATFORM for S390
ed2ca1b2 | 2023-09-13 | Jason Gunthorpe | iommu: Add IOMMU_DOMAIN_PLATFORM
8a8ff74e | 2023-09-13 | Jason Gunthorpe | iommu: Add iommu_ops->identity_domain
8fd04863 | 2025-07-29 | gaorui | Revert "iommu: Handle race with default domain setup"
ae7f8e6c | 2024-04-09 | Baoquan He | kexec: fix the unexpected kexec_dprintk() macro
295bdb0e | 2024-07-30 | Sunil V L | kexec_file, parisc: print out debugging message if required
fe98710e | 2023-12-13 | Baoquan He | kexec_file, power: print out debugging message if required
6abc778a | 2023-12-13 | Baoquan He | kexec_file, riscv: print out debugging message if required
b930395b | 2023-12-13 | Baoquan He | kexec_file, arm64: print out debugging message if required
e33defdb | 2023-12-13 | Baoquan He | kexec_file, x86: print out debugging message if required
71c55262 | 2023-12-13 | Baoquan He | kexec_file: print out debugging message if required
58d7ffef | 2023-12-13 | Baoquan He | kexec_file: add kexec_file flag to control debug printing
f276ac65 | 2025-04-03 | Radim Krčmář | KVM: RISC-V: reset smstateen CSRs
aa984da6 | 2023-12-24 | Anup Patel | RISC-V: KVM: Fix indentation in kvm_riscv_vcpu_set_reg_csr()
8febb0b2 | 2023-09-13 | Mayuresh Chitale | RISCV: KVM: Add sstateen0 to ONE_REG
fe47c8ab | 2023-09-13 | Mayuresh Chitale | RISCV: KVM: Add sstateen0 context save/restore
643db4be | 2023-09-13 | Mayuresh Chitale | RISCV: KVM: Add senvcfg context save/restore
b630a41f | 2023-09-13 | Mayuresh Chitale | RISC-V: KVM: Enable Smstateen accesses
d47b59fd | 2023-09-13 | Mayuresh Chitale | RISC-V: KVM: Add kvm_vcpu_config
95c4746d | 2024-07-30 | Sunil V L | serial: 8250_platform: Enable generic 16550A platform devices
6cac92e6 | 2025-04-09 | Song Shuai | riscv: kexec_file: Support loading Image binary file
79b3ed64 | 2025-07-25 | gaorui | riscv: kexec_file: Split the loading of kernel and others
e1418880 | 2025-07-25 | gaorui | Revert "riscv: kexec: Add image loader for kexec file"
a52c0a61 | 2023-11-30 | Samuel Ortiz | RISC-V: Implement archrandom when Zkr is available
ea0ffc5c | 2024-02-08 | Sunil V L | cpufreq: Move CPPC configs to common Kconfig and add RISC-V
8baa79e4 | 2024-02-08 | Sunil V L | ACPI: RISC-V: Add CPPC driver
bc871db4 | 2024-06-17 | Yunhui Cui | RISC-V: Select ACPI PPTT drivers
87e976b7 | 2024-05-02 | Sia Jee Heng | RISC-V: ACPI: Enable SPCR table for console output on RISC-V
64378cdd | 2024-07-18 | Ryo Takakura | RISC-V: Enable IPI CPU Backtrace
9adb6ce6 | 2024-06-13 | Haibo Xu | riscv: dmi: Add SMBIOS/DMI support
878af5df | 2024-06-13 | Haibo Xu | ACPI: NUMA: replace pr_info with pr_debug in arch_acpi_numa_init
0b66c7ce | 2025-04-25 | gaorui | ACPI: NUMA: change the ACPI_NUMA to a hidden option
da676eab | 2025-04-25 | gaorui | ACPI: NUMA: Make some NUMA-related functions available for RISC-V
564a70dd | 2024-06-13 | Haibo Xu | ACPI: NUMA: Add handler for SRAT RINTC affinity structure
9b283892 | 2024-06-13 | Haibo Xu | ACPI: RISCV: Add NUMA support based on SRAT and SLIT
aadb0bee | 2024-01-17 | Haibo Xu | ACPICA: SRAT: Add RISC-V RINTC affinity structure
